"Proc","EventDur","EC1","EC2","EC3","Time","SeqIndx"
16,94,2,245,418,8,1
16,90,2,245,418,5,1
16,86,2,245,418,6,1
16,145,2,245,418,6,1
16,102,2,245,418,8,1
16,104,2,245,418,7,1
16,162,2,245,418,8,1
16,428,2,245,418,7,1
16,124,1,100,0,17,3
16,102,2,245,418,9,1
16,94,2,245,418,5,1
16,107,2,245,418,9,1
16,92,2,245,418,8,1
16,96,2,245,418,7,1
16,136,1,100,0,4,3
16,96,2,245,418,8,1
16,135,1,100,0,5,3
16,148,1,100,0,17,3
16,100,2,245,418,6,1
16,114,2,245,418,9,1
16,93,2,245,418,7,1
16,146,1,100,0,19,3
16,122,1,100,0,5,3
16,120,1,100,0,26,3
16,132,1,100,0,4,3
16,94,2,245,418,6,1
16,105,2,245,418,8,1
16,116,1,100,0,18,3
16,136,1,100,0,25,3
16,116,2,245,418,8,1
16,140,1,100,0,4,3
16,126,1,100,0,5,3
16,112,2,245,418,6,1
16,168,1,100,0,12,3
16,136,1,100,0,24,3
16,94,2,245,418,8,1
16,167,1,100,0,5,20
16,100,2,245,418,7,1
16,137,1,100,0,22,3
16,104,2,245,418,8,1
16,120,2,245,418,6,1
16,94,2,245,418,7,1
16,120,1,100,0,5,3
16,95,2,245,418,7,1
16,128,2,245,418,6,1
16,13449,2,204,319,18,153
16,138,2,245,418,9,1
16,134,1,100,0,4,3
16,130,1,100,0,4,3
16,13858,2,204,319,11,157
16,120,2,245,418,8,1
16,94,2,245,418,6,1
16,164,2,245,418,7,1
16,94,2,245,418,7,1
16,136,1,100,0,4,3
16,622,1,100,0,12,149
16,111,2,245,418,7,1
16,94,2,245,418,9,1
16,140,2,245,418,7,1
16,440,2,245,418,9,1
16,154,2,245,418,6,1
16,10251,2,204,319,17,141
16,140,2,245,418,7,1
16,114,1,100,0,5,3
16,13860,2,204,319,17,157
16,446,2,245,418,6,1
16,140,1,100,0,24,3
16,116,1,100,0,24,3
16,126,1,100,0,4,3
16,94,2,245,418,8,1
16,148,1,100,0,29,3
16,102,2,245,418,7,1
16,202,1,100,0,9,3
16,164,1,100,0,5,20
16,102,2,245,418,7,1
16,778,1,100,0,24,3
16,13889,2,204,319,18,157
16,150,2,245,418,9,1
16,61,1,100,0,26,9
